날짜,원유- WTI,원유- Dubai,원유- Brent,천연가스,유연탄,철광석,구리,알루미늄,니켈,아연,금,대두,옥수수,소맥,원당,원면
2018-01-01,63.58,66.02,68.89,3.15,111.93,75.78,7065.85,2209.73,12864.88,3441.52,1331.67,356.87,155.92,156.39,26.59,91.06
2018-02-01,62.23,62.63,65.7,2.66,111.48,77.65,7006.53,2181.79,13595.88,3532.9,1331.53,371.23,163.46,172.29,25.67,88.27
2018-03-01,62.83,63.92,66.89,2.7,105.73,71.32,6799.18,2069.24,13392.5,3269.18,1324.66,381.89,172.08,180.92,24.73,92.14
2018-04-01,66.31,68.67,71.93,2.72,99.22,66.33,6851.51,2254.69,13938.1,3188.05,1334.74,381.27,175.6,180.38,24.81,92.24
2018-05-01,69.9,74.08,76.93,2.83,109.38,66.63,6825.27,2299.67,14366.49,3059.87,1303.03,374.85,179.18,192.7,24.6,94.48
2018-06-01,67.88,73.31,75.8,2.94,121.52,66.86,6965.86,2237.62,15105.65,3088.57,1281.57,339.96,165.14,193.08,25.62,97.71
2018-07-01,71.07,72.77,75.23,2.79,125.09,67.05,6250.75,2082.24,13793.86,2656.13,1238.53,312.56,156.55,196.81,25.54,96.18
2018-08-01,67.93,72.59,73.85,2.91,123.73,68.02,6051.05,2051.51,13411.35,2512,1201.25,316.66,162.52,211.29,25.66,94.55
2018-09-01,70.19,76.93,79.16,2.9,122.23,68.8,6050.76,2026.46,12510.35,2434.68,1198.47,306.43,154.95,191.14,25.4,90.36
2018-10-01,70.75,78.76,80.78,3.21,114.76,72.02,6219.59,2029.86,12314.91,2673.67,1215.39,315.85,160.37,188.46,25.2,86.8
2018-11-01,56.19,64.69,66.23,4.11,107.55,72.3,6195.92,1938.51,11239.72,2595.69,1220.95,322.28,160.88,181.55,25.04,86.78
2018-12-01,48.92,55.67,57.95,3.9,106.14,68.9,6075.32,1920.38,10835.08,2616.29,1247.92,330.48,167.49,188.54,25.23,86
2019-01-01,51.23,59.16,59.94,3.11,105.4,75.2,5939.1,1853.72,11523.09,2569.7,1291.75,333.78,166.85,188.84,25.57,82.35
2019-02-01,55,64.55,64.38,2.68,101.36,87.59,6300.49,1862.99,12685.23,2707.19,1320.07,334.5,169.66,177.92,25.77,81.15
2019-03-01,58.17,66.95,66.94,2.8,99.67,87.07,6439.46,1871.21,13026.27,2850.6,1300.9,329.24,166.32,164.51,26.23,83.81
2019-04-01,63.87,70.94,71.48,2.6,88.76,94.5,6438.36,1845.43,12772.79,2932.65,1286.45,324.25,161.65,159.03,26.87,87.25
2019-05-01,60.74,68.67,70.39,2.59,89.56,101.76,6017.9,1781.26,12016.31,2742.81,1283.95,305.31,171.18,158.28,26.36,80.14
2019-06-01,54.67,60.92,63.21,2.33,77.63,109.55,5882.23,1755.95,11943.94,2601.23,1359.04,326.61,195.17,174.7,26.37,77.65
2019-07-01,57.38,62.86,64.32,2.3,77.85,119.59,5941.2,1796.99,13546.3,2446.51,1412.98,325.47,189.49,163.88,25.66,75.54
2019-08-01,54.83,58.5,59.62,2.17,69.74,93.5,5709.44,1740.68,15748.64,2273.01,1498.8,314.63,163.63,149.36,25.79,70.78
2019-09-01,56.86,60.86,62.43,2.51,66.96,92.26,5759.25,1753.51,17656.88,2331.56,1511.31,322.45,157.37,146.57,25.64,71.31
2019-10-01,53.96,58.86,59.63,2.34,69.19,88.59,5757.3,1725.96,17046.22,2451.65,1494.8,339.87,167.3,153.22,26.03,73.88
2019-11-01,56.68,61.22,62.69,2.63,69.73,82.9,5859.95,1774.79,15171.81,2425.48,1470.02,332.96,166.36,157.53,27.24,74.86
2019-12-01,59.87,64.45,65.35,2.28,70.46,90.98,6077.06,1771.38,13829.43,2272.54,1476.04,334.95,167.06,165.25,25.91,75.83
2020-01-01,57.72,63.13,63.9,2.03,72.11,95.22,6031.21,1773.09,13506.86,2354.31,1560.67,337.08,171.81,178.24,25.9,79.07
2020-02-01,50.61,54.05,55.69,1.85,71.05,87.63,5687.75,1688.1,12715.55,2113.24,1597.1,325.43,168.74,172.23,26.6,76.57
2020-03-01,29.32,33.51,33.95,1.73,70.2,88.66,5182.63,1610.89,11846.23,1903.63,1591.93,319.34,162.18,170.87,27.09,67.69
2020-04-01,16.98,26.19,26.85,1.76,64.62,83.75,5057.97,1459.93,11804.01,1903.37,1682.93,309.99,147.01,179.75,26.07,63.53
2020-05-01,28.78,32.6,32.42,1.81,54.15,91.33,5239.83,1466.37,12179.61,1975.32,1716.38,309.33,143.99,174.95,25.85,65.7
2020-06-01,38.31,40.07,40.86,1.7,55,103.34,5754.6,1568.57,12727.15,2025.71,1732.22,318.64,148.04,169.72,25.98,67.8
2020-07-01,40.72,42.53,43.3,1.76,51.67,108.02,6372.46,1643.81,13402.3,2177.2,1843.31,328.94,152.59,170.57,26.62,68.52
2020-08-01,42.37,43.92,45.08,2.34,51.38,120.07,6508.39,1738.56,14575.78,2413.91,1968.03,332.14,149.39,174.18,27.44,70
2020-09-01,39.6,41.37,41.93,2.29,52.01,123,6704.9,1743.77,14857.49,2442.46,1922.21,366.82,166.6,204.14,26.85,70.81
2020-10-01,39.41,40.81,41.61,2.83,58.07,119.25,6713.81,1806.1,15239.36,2440.65,1900.28,387.58,186.77,203.43,27.39,74.82
2020-11-01,41.39,43.47,44.05,2.87,62.95,123.52,7068.91,1935.28,15807.73,2671.6,1863.49,419.59,190.63,210.75,29.33,77.72
2020-12-01,47.07,49.63,50.38,2.58,80.59,153.07,7772.24,2014.67,16823.04,2779.85,1855.96,443.66,199.18,217.31,28.36,81.02
2021-01-01,51.85,54.65,55.22,2.65,91,166.74,7972.15,2003.98,17863.18,2705.35,1866.99,504.31,231.75,237.94,28.79,87.24
2021-02-01,59.23,61.25,62.36,2.92,92.49,162.33,8470.94,2078.59,18584.38,2744.5,1808.18,507.82,245.55,240.81,29.62,92.76
2021-03-01,62.18,64.29,65.8,2.62,95.23,166.74,8988.25,2190.48,16406.66,2791.94,1718.23,519.88,245.76,229.89,30.48,91.45
2021-04-01,61.42,63.13,65.53,2.68,97.85,178.25,9324.82,2319.39,16521.25,2829.01,1761.68,537.42,268.62,239.94,31.29,90.73
2021-05-01,65.16,66.35,68.38,2.96,104.21,202.86,10166.29,2434.78,17602.1,2969.62,1855.56,576.97,304.3,278.45,32.42,90.89
2021-06-01,71.38,71.3,73.51,3.27,132.15,215.82,9631.5,2446.65,17979.57,2951.85,1834.57,537.36,292.52,238.77,33.05,94.5
2021-07-01,72.59,72.14,74.4,3.81,153.2,214.34,9450.82,2497.64,18818.51,2947.52,1807.09,523.57,278.45,243.63,36.14,97.7
2021-08-01,67.87,68.73,70.59,4.03,173.57,162.09,9370.14,2602.99,19141.3,2987.95,1783.97,504.04,257.02,274.88,35.2,101.3
2021-09-01,71.54,72.76,74.75,5.1,188.12,113.72,9324.71,2834.56,19376.88,3036.02,1777.25,469.44,235.82,269.73,35.74,103.68
2021-10-01,81.36,81.44,83.87,5.57,240.73,114.48,9829.22,2934.39,19362.39,3359.91,1776.85,452.02,239.6,294.04,37.19,117.38
2021-11-01,79.1,78.66,80.89,5.12,177.8,90.13,9728.9,2636.45,19932.86,3311.27,1820.23,454.58,248.77,317.44,37.12,126.54
2021-12-01,71.8,72.85,74.68,3.86,181.47,110.46,9551.18,2695.53,20015.55,3399.21,1786.65,473.81,264.57,324.02,36.71,120.04
2022-01-01,83.28,83.45,85.62,4.23,231.76,133.05,9782.34,3005.98,22355.4,3599.14,1816.77,514.45,276.72,326.08,35.48,132.33
2022-02-01,91.61,91.53,94.27,4.48,272.49,139.7,9943.18,3245.79,24015.55,3620.04,1856.3,583.69,292.67,347.5,35.38,138.41
2022-03-01,108.4,107.59,112.44,4.97,353.44,147.35,10230.89,3498.37,33924.18,3962.21,1947.83,617.2,335.93,387.67,36.33,141.13
2022-04-01,101.99,102.76,106.16,6.74,334.72,146.67,10174.35,3246.99,33133.81,4371.34,1933.9,618.14,348.51,406.03,36.88,155.32
2022-05-01,109.71,107.86,112.11,8.16,418.49,131.09,9395.03,2839.51,28228.89,3769.65,1849.83,617.12,344.91,444.16,36.37,163.98
2022-06-01,114.68,111.86,117.69,7.57,427.43,131.05,9067.55,2575.67,25877.07,3652.89,1837.06,621.2,335.72,397.65,35.98,154.45
2022-07-01,101.92,100.32,105.25,7.11,433.63,109.05,7544.81,2408.42,21481.89,3105.36,1737.38,571,312.68,321.98,34.85,131.04
2022-08-01,93.69,95.69,97.64,8.78,447.45,109.07,7990.81,2433.92,22034.89,3590.13,1764.13,576.82,293.93,323.02,35.48,124.76
2022-09-01,84.4,89.74,90.61,7.84,467.78,100.84,7746.01,2224.76,22773.97,3124.97,1683.21,537.55,312.55,346.32,34.97,117.94
2022-10-01,87.29,91.21,93.72,6.09,426.91,94.62,7651.08,2255.54,22032.89,2967.21,1666.63,507.54,343.55,353.71,34.59,100.28
2022-11-01,84.08,84.6,90.94,6.48,368.26,94.57,8049.86,2350.72,25562.7,2938.92,1727.9,529.75,320.93,344.33,35.98,101.17
2022-12-01,76.58,76.86,81.5,5.75,427.69,111.41,8371.09,2398.21,28985.92,3116.52,1797.41,541.83,302.24,323.65,36.52,100.89
2023-01-01,78.25,80.91,84.08,3.47,404.54,122.43,9007.35,2494.9,28271.49,3295.88,1896.06,555.51,302.84,320.1,36.48,100.31
2023-02-01,77.03,81.28,83.63,2.44,244.21,127.08,8936.59,2416.18,26727.95,3133.84,1853.41,561.29,298.25,332.41,36.89,99.43
2023-03-01,73.35,78.27,79.26,2.41,196,127.98,8856.31,2296.42,23288.61,2967.46,1913.65,547.23,284.96,309.43,37.88,95.39
2023-04-01,79.13,83.41,83.54,2.2,200.68,117.13,8809.16,2338.13,23770.8,2770.36,1999.67,546.87,291.18,312.81,41.17,95.13
2023-05-01,71.67,74.79,75.75,2.32,179.26,104.52,8243.16,2274.01,22134.78,2485.78,1989.83,508.35,268.17,299.44,42.52,93.88
2023-06-01,70.31,74.73,74.98,2.48,138.63,113.09,8396.52,2184.75,21233.28,2375.45,1944.73,526.3,266.94,282.28,41.25,92.42
2023-07-01,75.77,80.65,80.11,2.64,141.03,113.98,8476.68,2159.73,21091.26,2404.65,1950.27,555.11,235.27,278.62,38.62,93.27
2023-08-01,81.37,86.12,85.17,2.65,152.79,109.61,8347.83,2135.58,20446.36,2405.16,1919.3,510.15,207.68,241.41,40.5,96
2023-09-01,89.24,93.24,92.67,2.7,168.48,120.43,8276.71,2184.67,19644.64,2495.5,1915.43,487.15,223.85,229.39,42.56,97.77
2023-10-01,85.47,88.79,88.95,3.17,150.74,118.75,7941.36,2194.39,18264.04,2447.18,1913.98,471.93,221.9,216.46,44.23,95.69
2023-11-01,77.58,82.64,82.19,3.06,132.12,131.25,8189.59,2202.26,17027.36,2543.61,1985.78,494.35,209.04,216,44.74,90.43
2023-12-01,72.02,77.57,77.54,2.53,149.36,137.55,8407.9,2192.01,16443.52,2510.57,2034.7,481.49,207.4,229.63,39.96,90.41
2024-01-01,74,79.58,79.11,2.72,140.82,136.59,8351.34,2201.57,16111.67,2520.94,2034.01,452.63,198.76,226.08,39.93,92.11
2024-02-01,77.36,82.81,81.8,1.79,128.7,125.93,8304.95,2179.46,16338.46,2360.09,2024.45,429.73,188.95,219.24,41.58,99.35
2024-03-01,81.41,86.63,84.96,1.75,137.7,110.19,8692.82,2229.44,17397.36,2457.86,2162.35,433.53,190.23,211.84,39.96,99.56
2024-04-01,85.35,90.87,88.97,1.79,137.5,112.23,9445.59,2499.23,18132.36,2725.56,2333.55,427.92,190.9,208.38,39.55,90.6
