날짜,한국,호주,브라질,칠레,체코,덴마크,유로 지역,헝가리,아이슬란드,인도네시아,일본,멕시코,뉴질랜드,노르웨이,폴란드,남아프리카공화국,스웨덴,튀르키예
2018-01-01,2554843679,2064062.63,6095026.89,140563882.1,4278342,1350404,11872785.52,22986989.5,1728499.76,5351627091,1347014800,8370104.46,290365.66,2187510,1309614,3355193.37,3394152,1679341.97
2018-02-01,2569313283,2056802.96,6153459.31,140765158.7,4334392,1367321,11869868.41,23166335.1,1750831.87,5351650327,1351059000,8456182.55,292030.21,2163383,1315388,3356011.09,3412455,1698359.97
2018-03-01,2584208418,2059483.5,6192752.31,142960516.4,4349959,1342094,11935624.28,23493436.7,1756067.14,5395826039,1354650900,8491670.33,295333.28,2198006,1325797,3397363.02,3437780,1746835.63
2018-04-01,2584177092,2056112.79,6200445.49,140853993.4,4382869,1388166,11995234.24,23776662.6,1762346.72,5409088811,1363227900,8596565.49,297516.35,2220637,1328848,3385729.28,3469698,1782131.84
2018-05-01,2609834777,2059505.55,6223998.44,143157867.1,4433008,1379279,12078881.59,23927124.9,1775399.87,5435082933,1366935000,8636132.99,295315.59,2215648,1346708,3399567.65,3437580,1856742.16
2018-06-01,2632341084,2066566.08,6304012.56,144733109.2,4408594,1378669,12177404.06,24451718.6,1816409.74,5534149826,1367356200,8779039.92,297797.73,2286645,1352496,3390302.38,3510662,1876281.4
2018-07-01,2634789920,2084999.51,6311306.32,143123825.3,4433740,1384896,12169064.71,24553180.5,1830741.19,5507791748,1366684400,8625372.34,301499.34,2285436,1356808,3462343.3,3485917,1942270.05
2018-08-01,2642505077,2097162.1,6402988.71,145748665.5,4472914,1400122,12176830.71,24795376.6,1861473.7,5529451806,1365252200,8795713.32,301798.6,2250161,1365479,3515682.01,3471072,2168832.59
2018-09-01,2661729349,2093838.16,6491649.46,144147796.1,4456277,1359209,12196851.39,24677732.9,1884620.77,5606779893,1367417200,8703913.19,302781.1,2258381,1376165,3548923.81,3497672,2082831.67
2018-10-01,2682252608,2100939.87,6471955.81,144096909.3,4491241,1375629,12236012.69,25023111.8,1915942.94,5667512102,1372142900,8764129.31,305434.94,2254013,1394704,3521253.9,3495530,2012061.65
2018-11-01,2687142972,2096457.45,6489186.65,148001893.7,4541911,1400322,12321075.49,25346730.2,1901338.16,5670975245,1373296600,8794509.64,307946.48,2267358,1409695,3544118.5,3518234,1954810.81
2018-12-01,2700362359,2098935.71,6563793.04,147055192.7,4493667,1363348,12373909.11,25630124.5,1846297.78,5760046195,1381142200,8822023.71,311398.74,2259470,1445744,3547045.54,3494589,1997823.25
2019-01-01,2712849584,2117997.79,6566622.22,145187258.8,4523652,1390293.71,12364053.54,25231112.6,1854952,5644985165,1377968600,8684996.06,307559.13,2275888,1425080,3523608.33,3569942,2011293.24
2019-02-01,2739656061,2121163,6576880.74,145902892.9,4579200,1404606.56,12403557.36,25367715.2,1872013.59,5670777573,1378493400,8752937,309108.66,2267876,1443686,3531827.26,3566494,2054546.27
2019-03-01,2763165160,2142359.92,6659292.22,150026536,4588150,1380162.97,12533563.88,25572407.6,1912889.42,5747246815,1382301300,8804196.27,312159.3,2295245,1456838,3631096.46,3577899,2173673.58
2019-04-01,2760406593,2147229.9,6663621.52,149398373.6,4653660,1404160.06,12606063.64,25640203.4,1923184.02,5746731767,1394740400,8818612.66,313888.25,2284154,1466745,3680296.14,3584273,2241717.04
2019-05-01,2773218130,2144263.48,6729255.76,152531626.4,4719599,1403510.9,12686178.84,26078296.5,1924114.78,5860508747,1392425000,8919594.58,312948.35,2304308,1480237,3705551.87,3639168,2258314.09
2019-06-01,2813932910,2150378.72,6784295.38,151674607.7,4709398,1414576.97,12754369.63,25634119,1933035.69,5908509267,1394016300,8998039.53,316000.28,2364760,1477865,3692850.97,3695201,2255866.19
2019-07-01,2807361719,2355429.14,6797376.06,153340891.5,4732621,1437412.09,12810664.43,25759675.5,1945372.44,5941133100,1392287000,8900646.96,318933.58,2383680,1490533,3746619.98,3686237,2236078.19
2019-08-01,2848885333,2354571.33,6894988.1,154518078,4771965,1448129.85,12925179.53,26163282.6,1946953.4,5934561509,1393232000,9030807.17,317125.68,2379190,1500115,3776020.64,3707312,2352335.55
2019-09-01,2853964346,2364880.29,6976645.45,155947132.5,4768206,1414805.27,12895108.97,26352733.3,1970835.58,6004277165,1393878700,8967834.55,320211.62,2358180,1505817,3765422.55,3728699,2356295.2
2019-10-01,2871952224,2369267.25,6963665.23,158424841.3,4805635,1450361.68,12947765.52,26739438.3,1973053.71,6026908502,1399339200,8990176.75,321672.64,2362190,1523592,3776070.35,3769981,2411763.92
2019-11-01,2917439050,2389503.5,7015690.5,159499950.2,4832974,1459161.93,13049110.15,27357960.9,1960870.06,6074377017,1401345200,9107792.71,324327.66,2373380,1542231,3803031.59,3789412,2443857.35
2019-12-01,2913609579,2394036.27,7097840.4,164937184.6,4779393,1442527.94,13003732.57,27718971.2,1968042.57,6136776538,1409903600,9236663.55,326071.18,2349250,1565221,3763778.72,3741185,2537696.76
2020-01-01,2922453085,2421079.5,7025374.44,163402370.8,4887820,1473125.78,13016770.52,27601085.1,1982167.85,6047998556,1408373800,9168209.08,322987.14,2369940,1557428,3774571.94,3807043,2567100.6
2020-02-01,2977983460,2409508.64,7042882.31,165758952.4,4956764,1478061.4,13108333.05,27844502.2,2035836.16,6118513751,1411375300,9298645.98,326489.53,2364033,1579015,3807000.74,3813563,2657018.8
2020-03-01,2986838796,2485255.03,7144233.17,171997885.5,5045006,1454851.38,13459604.72,28756705.9,2092992.54,6441495232,1417690100,9666477.49,337987.27,2492801,1628074,3976627.17,4027530,2781870.59
2020-04-01,3011431163,2645594.78,7285676.01,177646102.2,5062695,1505872.03,13633391.27,28857224.3,2101342.7,6236651016,1449409100,10051010.17,344964.7,2529191,1672787,4065877.85,4079655,3020941.43
2020-05-01,3065842132,2631852.47,7448751.86,188349684.9,5105616,1536291.07,13844471.16,29137602.1,2127980.62,6465361631,1467556800,10102238.67,343608.33,2556770,1717552,4098528.24,4152265,3044613.88
2020-06-01,3083081939,2642321.27,7655368.1,183501621.6,5118954,1528187.44,13928231.83,29422510.6,2141562.67,6391611864,1487275200,10190272.1,346397.34,2578950,1745876,4101578.3,4245210,3120177.36
2020-07-01,3083834789,2674856.37,7801097.67,185606478.4,5167123,1578971.69,14026977.88,29706952.7,2209591.31,6566671345,1492400200,10229226.71,350385.13,2630937,1740478,4142151.56,4271184,3240501.88
2020-08-01,3092225766,2681230.18,7934984.72,189423861.2,5203066,1555067.1,14043799.44,30271449.5,2096885.15,6730993742,1492966700,10256710.52,354806.15,2593666,1743745,4187257.56,4256938,3295068.92
2020-09-01,3132300809,2690737.32,8089652.46,187474718.8,5292667,1537179.65,14130014.48,30797001.4,2142583.6,6748814336,1490763400,10235534.79,355780.2,2618730,1761824,4123641.31,4249346,3367106.29
2020-10-01,3162426876,2691389.03,8152389.43,187108839.7,5303523,1593194.59,14251759.08,31385908.2,2144159.37,6782146984,1497646600,10332973.03,359597.94,2638910,1782265,4148407.93,4305724,3502519.73
2020-11-01,3190796671,2701893.94,8191876.43,186193375.2,5319420,1585420.1,14374136.35,31967624,2143664.53,6821198057,1500067100,10333745.29,360384.41,2657930,1790331,4116972.64,4364555,3402037.12
2020-12-01,3199835655,2721258.71,8306196.03,188136644.4,5255243,1584466.12,14512667.14,33564942.2,2112996.07,6905939298,1513461900,10478072.48,365779.95,2634890,1822376,4118602.43,4419599,3406677.35
2021-01-01,3232213256,2750246.61,8308044.86,190115379.7,5408366,1586886.07,14578292.01,33046941.6,2121540.09,6767407648,1514706300,10481171.73,359420.93,2677710,1819840,4119967.1,4480580,3392234.09
2021-02-01,3289214171,2746550.26,8371555.78,188275534,5511964,1602050.72,14637983.57,33606398.5,2092960.98,6817787906,1520563300,10565015.87,361166,2705920,1836598,4091916.77,4526436,3416700.47
2021-03-01,3324920837,2769395.41,8487323.06,188865392.5,5568150,1583284.68,14724804,34044621.1,2136723.51,6895564119,1527078200,10615778.71,365808.91,2732670,1862402,4120623.19,4562714,3612803.42
2021-04-01,3343374457,2775972.39,8515543.9,191331401.3,5580947,1625531.52,14801119.51,33966568.7,2158099.74,6964386494,1541867700,10676811.67,368720.18,2754680,1859964,4148071.37,4607978,3671456.03
2021-05-01,3384519739,2782545.62,8596108.21,210731949,5618319,1613992.44,14909422.04,33878046.6,2206200.84,7004093076,1547301100,10696595.35,364349.33,2787880,1871969,4173186.1,4638775,3777957.06
2021-06-01,3418842815,2821361.47,8723988.41,209231432.6,5638226,1582581.1,15007317.36,34280416.3,2224665.86,7130061419,1545820500,10800943.49,366418.24,2868904,1875998,4106701.5,4762913,3872208.99
2021-07-01,3439194812,2877073.31,8817304.54,220520823.1,5660163,1610504.44,15168935.51,34727736.2,2262755.69,7160560333,1547769900,10875663.44,373052.69,2908858,1894515,4221929.06,4760032,3916966.35
2021-08-01,3489987308,2885791.45,8951117.72,212859746.3,5679114,1590661.73,15210469.91,35064915.7,2268658.37,7211500720,1544518800,10902128.63,369962.79,2866759,1902571,4283956.46,4775026,3931172.45
2021-09-01,3503617467,2805471.67,9073276.89,219468903.6,5701554,1577047.51,15237674.28,35641951.1,2323807.91,7300920636,1541064400,10912337.87,374560.51,2888532,1914200,4289042.33,4862593,4114465.01
2021-10-01,3563231348,2821906.63,9149008.12,223245020.1,5716699,1583798.52,15368818.78,36484638.6,2333609.74,7491704376,1548235600,11049422.53,378236.51,2871140,1935695,4280906.73,4899771,4367065.5
2021-11-01,3596418295,2853152.8,9198217.74,221683035.8,5738980,1565270.45,15451023.28,37785576.3,2333456.15,7573319898,1552843300,11272867.37,382984.87,2931142,1971939,4378671.56,5408425,5126829.21
2021-12-01,3613687601,2903577.9,9324469.9,224419258.9,5610992,1567884.32,15550660.41,39774109.7,2342619.76,7870452853,1558067700,11474295.14,391601.94,2911604,1984816,4353774.02,4881338,5195794.26
2022-01-01,3629712358,2911867.44,9288519.51,211575943,5736609,1586185.45,15549790.28,38149625.16,2346847.55,7646789191,1560551300,11393531.44,384878.79,2972712,1960127,4352786.8,4925617,5236275.1
2022-02-01,3657117343,2906558.21,9401730.08,220602115.9,5810520,1620238.98,15589175.94,39654709.45,2358166.96,7690134502,1570799900,11529612.49,386923.15,2921591,1984236,4355131.33,4924698,5414171.17
2022-03-01,3652818708,2932275.87,9643212.08,204757712.7,5847238,1586352.83,15692204.85,40245134.06,2384352.03,7810949315,1570888300,11529099.28,390384.54,3008094,2007244,4467744.65,5037102,5813269.86
2022-04-01,3675692312,2969546.83,9712768.66,215861330.3,5887492,1635943.69,15815527.3,39976910.36,2420410.13,7911484490,1585242500,11674016.26,391961.62,2996230,2010916,4458921.62,5055690,5985261.88
2022-05-01,3704465670,2994999.79,9827471.95,218388071,5963441,1635910.11,15861233.34,40133740.93,2445054.54,7854186705,1587012600,11742567.73,389593.77,3033769,2012845,4475421.65,5535600,6397071.12
2022-06-01,3712838379,3052112.13,9923145.09,230353622.6,5939654,1661014.78,15950730.05,41178666.29,2455150.99,7890747008,1591067300,11753409.91,389034.55,3118728,1996504,4448879.5,5166030,6553446.82
2022-07-01,3727679918,3065085.6,10100507.83,227515601.2,5985815,1701427.5,16070469.89,41414037.71,2483833.46,7845551906,1590607500,11905071.07,390827.95,3137555,2010325,4566095.68,5096508,7113017.74
2022-08-01,3737384765,3067411.17,10244384.48,222386571.3,5989745,1717477.04,16140678.87,42281812.21,2463194.04,7897628214,1586377300,11853774.05,391712.87,3087257,2041662,4633016.83,5149916,7296234.84
2022-09-01,3747840578,3089582.72,10362871.18,225383530.4,6073631,1726329.95,16185657.73,43644762.09,2518213.77,7962693358,1582713600,11835234.93,391911.98,3156242,2059651,4664530.37,5105268,7551783.16
2022-10-01,3769959776,3106467.36,10332528.83,229156151.5,6113864,1747733.04,16104372.89,41811764.18,2581176.84,8223055020,1589431300,11980033.99,393508.17,3074663,2068908,4701325.86,5056708,7827697.45
2022-11-01,3798047971,3119198.13,10472401.05,231971469.7,6133968,1748620.5,16155810.09,41975432.2,2561689.8,8297349514,1591516300,12088984.7,397262.6,3116437,2079669,4762445.16,5072060,7965647.92
2022-12-01,3758235458,3131247.94,10562496.17,232928796,5953591,1738823.34,16147765.61,43138275.09,2550356.59,8528022306,1592411500,12314704.45,398778.22,3073102,2088964,4729841.09,5013389,8330901.57
2023-01-01,3769805313,3161599.76,10621733.54,232714286.9,6146966,1769903.23,16044106.66,41143411.81,2564102.85,8271838098,1599710200,12235080.7,393400.45,3152495,2093967,4769163.25,5439281,8550513.01
2023-02-01,3802203066,3140095.72,10713518.81,234611373,6264003,1769786.63,16013625.59,42410461.74,2575042.57,8300648374,1602972800,12282354.35,394721.58,3081019,2128997,4825590.52,5595466,8771793.04
2023-03-01,3776930135,3152357.18,10861206.39,235810552.2,6317149,1756183.93,16018781.21,43065420.42,2599904.17,8293283227,1603953400,12408189.8,395721.47,3164937,2140215,4864810.35,4917604,9201996.18
2023-04-01,3773397167,3159895.57,10896440.46,237269863.1,6413181,1773710.99,16008872.01,41848962.38,2590228.63,8352349676,1621238100,12536947.67,398520.19,3110355,2147526,4910422.92,4907127,9684763.85
2023-05-01,3777762069,3138698.63,11055490.92,237736834.3,6507253,1767124.76,15993601.96,41329004.92,2626833.79,8336170789,1623529000,12639216.58,395739.55,3147050,2157899,4936026.32,4885697,9640138.69
2023-06-01,3808194248,3133496.64,11123481.78,237751861,6517279,1747509.44,15997387.82,41441689.46,2669512.32,8372990321,1623661800,12771725.22,399128.8,3059532,2157334,4944641.21,4936308,11070661.82
2023-07-01,3788167873,3165541.34,11226482.28,236615399.8,6548850,1779501.58,15987404.34,41548873.43,2691280.12,8349492322,1623499400,12908707.95,403358.47,3118299,2173124,4989518.67,4891605,11829748.34
2023-08-01,3824418803,3181230.13,11293529.69,238233790.3,6551346,1799486.14,15951761.02,41246254.23,2790440.78,8364739320,1623244800,12971300.37,403361.4,3064941,2192912,5026577.35,4873691,12300429.04
2023-09-01,3839468578,3189194.24,11480420.34,243571051,6555879,1783578.45,16005828.59,42633861.51,2781057.29,8441236437,1616546700,13081001.36,404876.64,3111166,2233816,5023123.8,4869505,12753569.27
2023-10-01,3853614182,3219002.24,11565125.65,236586889.3,6609404,1792629.53,15956344.19,42232694.49,2793365.62,8506544060,1623014200,13246381.35,405883.64,3089799,2240981,4987044.92,4856445,13181617.18
2023-11-01,3906680677,3233323.5,11668566.04,237790732.1,6646870,1798850.03,16022366.68,42388419.1,2790115.42,8574917089,1625879300,13504380.33,410532.15,3129720,2239808,5022043.16,4875180,13466505.24
2023-12-01,3904552627,3254406.4,11802617.31,239013739.6,6532914,1834961.38,16201477.52,44714650.04,2761973.9,8826531019,1625879300,13671506.07,413042.23,3086426,2267323,5089013.05,4949589,14157230.21
2024-01-01,3903018528,3288488.67,12152147.71,237436399.6,6715510,1833551.53,16060202.97,43511788.91,2775220.06,8721949689,1625879300,13820769.1,408324.16,3113682,2256314,5083670.45,4921759,14240892.53
2024-02-01,3967851974,3278645.58,12152147.71,237436399.6,6824145,1824416.76,16059909.78,43923990.01,2802469.16,8739622932,1625879300,14046815.68,407683.65,3056848,2287143,5101845.98,4861360,14670597.16
