기준년도,기준월,지역,분양,임대,조합,합계
2018,1,서울,404,0,0,404
2018,2,서울,681,55,178,914
2018,3,서울,2519,688,1604,4811
2018,4,서울,70,145,0,215
2018,5,서울,503,34,118,655
2018,6,서울,2685,694,2388,5767
2018,7,서울,844,395,572,1811
2018,8,서울,437,141,829,1407
2018,9,서울,710,359,220,1289
2018,10,서울,442,166,973,1581
2018,11,서울,614,0,921,1535
2018,12,서울,864,304,619,1787
2019,1,서울,843,0,15,858
2019,2,서울,1112,213,1546,2871
2019,3,서울,1364,168,603,2135
2019,4,서울,1932,44,612,2588
2019,5,서울,950,351,1041,2342
2019,6,서울,447,139,1133,1719
2019,7,서울,2132,64,405,2601
2019,8,서울,2002,0,1705,3707
2019,9,서울,660,114,1157,1931
2019,10,서울,612,97,860,1569
2019,11,서울,915,75,742,1732
2019,12,서울,2460,370,3367,6197
2020,1,서울,40,0,0,40
2020,2,서울,997,0,0,997
2020,3,서울,207,0,213,420
2020,4,서울,847,98,419,1364
2020,5,서울,1240,338,1785,3363
2020,6,서울,1870,1225,394,3489
2020,7,서울,5107,1325,9157,15589
2020,8,서울,430,0,233,663
2020,9,서울,165,0,0,165
2020,10,서울,237,0,162,399
2020,11,서울,1830,1216,0,3046
2020,12,서울,1051,1216,0,2267
2021,1,서울,0,173,0,173
2021,2,서울,1091,0,114,1205
2021,3,서울,34,0,48,82
2021,4,서울,194,0,0,194
2021,5,서울,648,0,4,652
2021,6,서울,224,322,2766,3312
2021,7,서울,199,0,0,199
2021,8,서울,201,0,0,201
2021,9,서울,1921,168,0,2089
2021,10,서울,77,0,0,77
2021,11,서울,114,0,85,199
2021,12,서울,169,15,0,184
2022,1,서울,467,157,777,1401
2022,2,서울,549,118,50,717
2022,3,서울,459,0,40,499
2022,4,서울,572,99,7,678
2022,5,서울,241,0,0,241
2022,6,서울,183,0,28,211
2022,7,서울,190,0,0,190
2022,8,서울,231,0,371,602
2022,9,서울,41,0,0,41
2022,10,서울,0,0,0,0
2022,11,서울,6830,1750,7682,16262
2022,12,서울,272,259,2191,2722
2023,1,서울,80,16,0,96
2023,2,서울,775,236,584,1595
2023,3,서울,700,433,673,1806
2023,4,서울,264,34,0,298
2023,5,서울,327,46,334,707
2023,6,서울,389,232,745,1366
2023,7,서울,753,440,20,1213
2023,8,서울,2111,680,1884,4675
2023,9,서울,373,258,955,1586
2023,10,서울,2105,1946,2211,6262
2023,11,서울,531,121,1013,1665
2023,12,서울,996,697,568,2261
2024,1,서울,290,195,2950,3435
2024,2,서울,240,0,589,829
2024,3,서울,45,432,0,477
