기준년도,기준월,지역,아파트,비아파트,합계
2018,1,서울,1486,3220,4706
2018,2,서울,1831,2473,4304
2018,3,서울,1451,2824,4275
2018,4,서울,1360,3346,4706
2018,5,서울,3420,3180,6600
2018,6,서울,3588,3091,6679
2018,7,서울,2890,3414,6304
2018,8,서울,1784,3373,5157
2018,9,서울,3027,2679,5706
2018,10,서울,6374,2869,9243
2018,11,서울,3197,3795,6992
2018,12,서울,13330,3462,16792
2019,1,서울,2261,3138,5399
2019,2,서울,10658,2514,13172
2019,3,서울,621,2565,3186
2019,4,서울,980,3414,4394
2019,5,서울,1555,2923,4478
2019,6,서울,4512,2565,7077
2019,7,서울,2482,2909,5391
2019,8,서울,2255,2453,4708
2019,9,서울,9091,2156,11247
2019,10,서울,1309,2616,3925
2019,11,서울,3528,2623,6151
2019,12,서울,6378,2888,9266
2020,1,서울,3620,2432,6052
2020,2,서울,8581,2214,10795
2020,3,서울,4953,1931,6884
2020,4,서울,5000,2255,7255
2020,5,서울,3796,1944,5740
2020,6,서울,4318,2047,6365
2020,7,서울,4543,2661,7204
2020,8,서울,4629,1705,6334
2020,9,서울,7788,2350,10138
2020,10,서울,613,1885,2498
2020,11,서울,2703,2328,5031
2020,12,서울,6240,2716,8956
2021,1,서울,2846,2630,5476
2021,2,서울,8884,1971,10855
2021,3,서울,3651,2200,5851
2021,4,서울,1263,2300,3563
2021,5,서울,2664,1839,4503
2021,6,서울,2992,2253,5245
2021,7,서울,4666,2527,7193
2021,8,서울,3874,2110,5984
2021,9,서울,2355,2240,4595
2021,10,서울,1636,1734,3370
2021,11,서울,3969,2342,6311
2021,12,서울,7851,2519,10370
2022,1,서울,3949,2196,6145
2022,2,서울,2474,1634,4108
2022,3,서울,5119,1774,6893
2022,4,서울,3737,1817,5554
2022,5,서울,1121,2015,3136
2022,6,서울,833,2356,3189
2022,7,서울,285,2154,2439
2022,8,서울,5877,2265,8142
2022,9,서울,272,1774,2046
2022,10,서울,3236,1414,4650
2022,11,서울,2449,1827,4276
2022,12,서울,5341,1719,7060
2023,1,서울,2102,1183,3285
2023,2,서울,613,1606,2219
2023,3,서울,1268,1649,2917
2023,4,서울,1156,1745,2901
2023,5,서울,443,1198,1641
2023,6,서울,4974,1916,6890
2023,7,서울,8349,1070,9419
2023,8,서울,3832,1234,5066
2023,9,서울,994,1016,2010
2023,10,서울,1384,607,1991
2023,11,서울,752,973,1725
2023,12,서울,1384,774,2158
2024,1,서울,3352,768,4120
2024,2,서울,2973,565,3538
