,예금취급기관,예금은행,비은행예금취급기관,합계,기준년도,기준월,지역
0,408773.7,350423.8,58349.9,817547.4,2022,12,서울
1,411123.9,352212.1,58911.8,822247.8,2022,11,서울
2,412196.5,353154.8,59041.7,824393.0,2022,10,서울
3,412258.7,353379.7,58879.0,824517.4,2022,9,서울
4,412379.4,353680.2,58699.2,824758.8,2022,8,서울
5,412114.2,353800.7,58313.5,824228.4,2022,7,서울
6,412325.9,354282.0,58043.9,824651.8,2022,6,서울
7,411590.1,353971.6,57618.5,823180.2,2022,5,서울
8,410774.4,353689.7,57084.7,821548.8,2022,4,서울
9,409706.5,352801.2,56905.3,819413.0,2022,3,서울
10,410414.3,353496.4,56917.9,820828.6,2022,2,서울
11,406480.6,349757.8,56722.8,812961.2,2022,1,서울
12,406570.8,349914.7,56656.1,813141.6,2021,12,서울
13,406120.7,349359.1,56761.5,812241.3,2021,11,서울
14,402983.9,346925.1,56058.8,805967.8,2021,10,서울
15,399927.9,343981.5,55946.5,799855.9,2021,9,서울
16,396530.1,340884.3,55645.8,793060.2,2021,8,서울
17,393503.4,338603.0,54900.4,787006.8,2021,7,서울
18,386051.3,332139.4,53911.9,772102.6,2021,6,서울
19,383313.8,330308.3,53005.4,766627.5,2021,5,서울
20,385299.8,332640.9,52658.9,770599.6,2021,4,서울
21,375179.8,324146.7,51033.1,750359.6,2021,3,서울
22,371717.3,321493.4,50223.9,743434.6,2021,2,서울
23,368505.5,318912.2,49593.3,737011.0,2021,1,서울
24,363817.0,314963.4,48853.5,727633.9,2020,12,서울
25,361190.4,312736.3,48454.1,722380.7999999999,2020,11,서울
26,355160.8,307478.0,47682.8,710321.6000000001,2020,10,서울
27,350203.9,303023.1,47180.8,700407.8,2020,9,서울
28,345570.0,298771.6,46798.4,691140.0,2020,8,서울
29,340297.2,293846.6,46450.6,680594.4,2020,7,서울
30,336897.1,290795.0,46102.1,673794.2,2020,6,서울
31,334236.2,288171.8,46064.4,668472.4,2020,5,서울
32,332221.8,286316.8,45905.0,664443.6,2020,4,서울
33,330397.8,284821.7,45576.1,660795.6,2020,3,서울
34,326252.6,280797.6,45455.0,652505.2,2020,2,서울
35,323866.6,278623.0,45243.6,647733.2,2020,1,서울
36,323097.2,277978.7,45118.5,646194.4,2019,12,서울
37,321228.2,276243.6,44984.6,642456.4,2019,11,서울
38,318900.5,274102.3,44798.3,637801.1000000001,2019,10,서울
39,315819.7,271268.1,44551.5,631639.3,2019,9,서울
40,314138.1,269423.7,44714.3,628276.1000000001,2019,8,서울
41,310648.3,265963.2,44685.1,621296.6,2019,7,서울
42,307850.9,263417.0,44433.9,615701.8,2019,6,서울
43,306218.9,261748.6,44470.3,612437.8,2019,5,서울
44,304106.8,259680.8,44426.0,608213.6,2019,4,서울
45,302256.6,258154.6,44102.0,604513.2,2019,3,서울
46,301725.2,257365.0,44360.2,603450.3999999999,2019,2,서울
47,301208.6,256885.8,44322.8,602417.2,2019,1,서울
48,301803.2,257626.8,44176.4,603606.4,2018,12,서울
49,300850.4,256775.7,44074.7,601700.8,2018,11,서울
50,298189.6,254393.4,43796.2,596379.2,2018,10,서울
51,295266.1,251547.8,43718.3,590532.2,2018,9,서울
52,293203.6,249245.6,43958.0,586407.2,2018,8,서울
53,291201.8,247169.5,44032.3,582403.6000000001,2018,7,서울
54,289868.6,245744.6,44124.0,579737.2,2018,6,서울
55,288940.0,244660.4,44279.6,577880.0,2018,5,서울
56,287303.5,242900.6,44402.9,574607.0,2018,4,서울
57,285382.6,241036.3,44346.4,570765.2999999999,2018,3,서울
58,284094.8,239632.9,44461.9,568189.6,2018,2,서울
59,283669.8,239190.4,44479.4,567339.6,2018,1,서울
