기준연도,기준월,매매상승률,매매지수,전세상승률,전세지수,월세상승률,월세지수
2024,3,-0.12%,95.8,0.05%,92.6,0.09%,102.0
2024,2,-0.14%,95.9,0.03%,92.6,0.10%,101.9
2024,1,-0.14%,96.0,0.05%,92.5,0.07%,101.8
2023,12,-0.10%,96.2,0.12%,92.5,0.10%,101.7
2023,11,0.04%,96.3,0.27%,92.4,0.14%,101.6
2023,10,0.20%,96.2,0.36%,92.1,0.14%,101.5
2023,9,0.25%,96.0,0.32%,91.8,0.09%,101.3
2023,8,0.16%,95.8,0.15%,91.5,0.04%,101.2
2023,7,0.03%,95.7,-0.04%,91.4,-0.05%,101.2
2023,6,-0.05%,95.6,-0.16%,91.4,-0.10%,101.3
2023,5,-0.22%,95.7,-0.32%,91.6,-0.14%,101.4
2023,4,-0.47%,95.9,-0.63%,91.9,-0.18%,101.5
2023,3,-0.78%,96.3,-1.13%,92.4,-0.24%,101.7
2023,2,-1.15%,97.1,-1.81%,93.5,-0.30%,101.9
2023,1,-1.49%,98.2,-2.29%,95.2,-0.33%,102.2
2022,12,-1.98%,99.7,-2.42%,97.4,-0.28%,102.6
2022,11,-1.37%,101.7,-1.55%,99.9,-0.11%,102.9
2022,10,-0.77%,103.1,-0.88%,101.4,0.05%,103.0
2022,9,-0.49%,103.9,-0.50%,102.3,0.10%,102.9
2022,8,-0.29%,104.5,-0.28%,102.8,0.15%,102.8
2022,7,-0.08%,104.8,-0.08%,103.1,0.16%,102.7
2022,6,-0.01%,104.8,-0.02%,103.2,0.16%,102.5
2022,5,0.01%,104.8,0.00%,103.2,0.16%,102.3
2022,4,0.06%,104.8,0.01%,103.2,0.15%,102.2
2022,3,0.02%,104.8,-0.02%,103.2,0.14%,102.0
2022,2,0.03%,104.8,0.00%,103.2,0.13%,101.9
2022,1,0.10%,104.7,0.07%,103.3,0.16%,101.7
2021,12,0.29%,104.6,0.25%,103.2,0.22%,101.6
2021,11,0.63%,104.3,0.46%,102.9,0.29%,101.4
2021,10,0.88%,103.7,0.62%,102.5,0.32%,101.1
2021,9,0.92%,102.8,0.59%,101.8,0.29%,100.7
2021,8,0.96%,101.8,0.63%,101.2,0.26%,100.5
2021,7,0.85%,100.9,0.59%,100.6,0.20%,100.2
2021,6,1.15%,100.0,0.66%,100.0,0.20%,100.0
2021,5,0.70%,98.9,0.36%,99.3,0.12%,99.8
2021,4,0.71%,98.2,0.36%,99.0,0.12%,99.7
2021,3,0.74%,97.5,0.46%,98.6,0.14%,99.6
2021,2,0.90%,96.8,0.65%,98.2,0.19%,99.4
2021,1,0.79%,95.9,0.71%,97.6,0.25%,99.2
2020,12,0.90%,95.2,0.97%,96.9,0.32%,99.0
2020,11,0.54%,94.3,0.66%,95.9,0.18%,98.7
2020,10,0.32%,93.8,0.47%,95.3,0.12%,98.5
2020,9,0.42%,93.5,0.53%,94.9,0.13%,98.4
2020,8,0.47%,93.1,0.44%,94.4,0.10%,98.2
2020,7,0.61%,92.7,0.32%,94.0,0.07%,98.1
2020,6,0.41%,92.1,0.26%,93.7,0.05%,98.1
2020,5,0.14%,91.7,0.09%,93.4,0.01%,98.0
2020,4,0.27%,91.6,0.11%,93.3,0.01%,98.0
2020,3,0.54%,91.4,0.19%,93.2,0.03%,98.0
2020,2,0.34%,90.9,0.21%,93.1,0.03%,98.0
2020,1,0.28%,90.6,0.28%,92.9,0.04%,97.9
2019,12,0.38%,90.3,0.22%,92.6,0.03%,97.9
2019,11,0.19%,90.0,0.14%,92.4,0.00%,97.9
2019,10,0.12%,89.8,0.09%,92.3,-0.01%,97.9
2019,9,0.01%,89.7,-0.03%,92.2,-0.05%,97.9
2019,8,-0.05%,89.7,-0.10%,92.2,-0.08%,97.9
2019,7,-0.09%,89.7,-0.19%,92.3,-0.10%,98.0
2019,6,-0.13%,89.8,-0.21%,92.5,-0.12%,98.1
2019,5,-0.16%,89.9,-0.22%,92.7,-0.12%,98.2
2019,4,-0.21%,90.1,-0.29%,92.9,-0.12%,98.3
2019,3,-0.16%,90.3,-0.25%,93.1,-0.10%,98.5
2019,2,-0.12%,90.4,-0.22%,93.4,-0.09%,98.6
2019,1,-0.15%,90.5,-0.22%,93.6,-0.09%,98.7
2018,12,-0.01%,90.6,-0.19%,93.8,-0.12%,98.7
2018,11,0.13%,90.7,-0.09%,94.0,-0.08%,98.9
2018,10,0.19%,90.5,-0.05%,94.1,-0.08%,98.9
2018,9,0.31%,90.4,-0.08%,94.1,-0.09%,99.0
2018,8,0.02%,90.1,-0.20%,94.2,-0.12%,99.1
2018,7,-0.02%,90.1,-0.21%,94.4,-0.11%,99.2
2018,6,-0.02%,90.1,-0.25%,94.6,-0.12%,99.3
2018,5,-0.03%,90.1,-0.28%,94.8,-0.12%,99.5
2018,4,0.06%,90.1,-0.19%,95.1,-0.10%,99.6
2018,3,0.12%,90.1,-0.13%,95.2,-0.07%,99.7
2018,2,0.20%,90.0,-0.09%,95.4,-0.05%,99.7
2018,1,0.14%,89.8,-0.05%,95.5,-0.04%,99.8
